"sample_id","raw_input_text","gold_intent","gold_entities","slice_tags","model_name","prompt_language","raw_response","parsed_prediction","parse_success","schema_failure","predicted_intent","predicted_entities","evaluator_result","suspected_issue","reviewer_notes","severity","gold_label_concern"
"raw_038","aaj ki notes me likh 'wifi fir gya'","note_create","date:aaj; task_object:wifi fir gya","transliteration_noise; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable; transliteration noise is useful.","blocker",""
"raw_038","aaj ki notes me likh 'wifi fir gya'","note_create","date:aaj; task_object:wifi fir gya","transliteration_noise; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable; transliteration noise is useful.","blocker",""
"raw_046","add task: courier pickup before 5 warna miss ho jayega","task_create","task_object:courier pickup; time:before 5","code_switching; temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_046","add task: courier pickup before 5 warna miss ho jayega","task_create","task_object:courier pickup; time:before 5","code_switching; temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_046","add task: courier pickup before 5 warna miss ho jayega","task_create","task_object:courier pickup; time:before 5","code_switching; temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_046","add task: courier pickup before 5 warna miss ho jayega","task_create","task_object:courier pickup; time:before 5","code_switching; temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_048","calendar me block kar do deep work 2 to 4 pm","meeting_schedule","event_name:deep work; datetime:2 to 4 pm","code_switching; temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_048","calendar me block kar do deep work 2 to 4 pm","meeting_schedule","event_name:deep work; datetime:2 to 4 pm","code_switching; temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_048","calendar me block kar do deep work 2 to 4 pm","meeting_schedule","event_name:deep work; datetime:2 to 4 pm","code_switching; temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_048","calendar me block kar do deep work 2 to 4 pm","meeting_schedule","event_name:deep work; datetime:2 to 4 pm","code_switching; temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_051","book a cab, mujhe airport by 6:30 chahiye","navigation_request","destination:airport; time:6:30","code_switching; temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_051","book a cab, mujhe airport by 6:30 chahiye","navigation_request","destination:airport; time:6:30","code_switching; temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_051","book a cab, mujhe airport by 6:30 chahiye","navigation_request","destination:airport; time:6:30","code_switching; temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_051","book a cab, mujhe airport by 6:30 chahiye","navigation_request","destination:airport; time:6:30","code_switching; temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_031","2 ghnte baad pani pine ka yaad dila","reminder_create","duration:2 ghnte; task_object:pani pina","transliteration_noise; temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_031","2 ghnte baad pani pine ka yaad dila","reminder_create","duration:2 ghnte; task_object:pani pina","transliteration_noise; temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_031","2 ghnte baad pani pine ka yaad dila","reminder_create","duration:2 ghnte; task_object:pani pina","transliteration_noise; temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_031","2 ghnte baad pani pine ka yaad dila","reminder_create","duration:2 ghnte; task_object:pani pina","transliteration_noise; temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_026","mtg ko wed 3 bje reschd krdo","meeting_schedule","event_name:mtg; datetime:wed 3 bje","transliteration_noise; temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_026","mtg ko wed 3 bje reschd krdo","meeting_schedule","event_name:mtg; datetime:wed 3 bje","transliteration_noise; temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_026","mtg ko wed 3 bje reschd krdo","meeting_schedule","event_name:mtg; datetime:wed 3 bje","transliteration_noise; temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_026","mtg ko wed 3 bje reschd krdo","meeting_schedule","event_name:mtg; datetime:wed 3 bje","transliteration_noise; temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
"raw_036","pls vol kum krdo","media_control","other:volume","transliteration_noise; short_utterance; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold label is fine; entity type other is broad but defensible.","blocker",""
"raw_036","pls vol kum krdo","media_control","other:volume","transliteration_noise; short_utterance; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold label is fine; entity type other is broad but defensible.","blocker",""
"raw_036","pls vol kum krdo","media_control","other:volume","transliteration_noise; short_utterance; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold label is fine; entity type other is broad but defensible.","blocker",""
"raw_036","pls vol kum krdo","media_control","other:volume","transliteration_noise; short_utterance; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold label is fine; entity type other is broad but defensible.","blocker",""
"raw_035","kabir ke liye bday gift buy krna add kr","purchase_request","person:kabir; task_object:bday gift","transliteration_noise; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked; possible intent boundary","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Could be read as purchase_request or task_create because of add kr; keep if label policy prefers underlying user task over task-list wrapper.","blocker","intent may be borderline between purchase_request and task_create"
"raw_035","kabir ke liye bday gift buy krna add kr","purchase_request","person:kabir; task_object:bday gift","transliteration_noise; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked; possible intent boundary","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Could be read as purchase_request or task_create because of add kr; keep if label policy prefers underlying user task over task-list wrapper.","blocker","intent may be borderline between purchase_request and task_create"
"raw_035","kabir ke liye bday gift buy krna add kr","purchase_request","person:kabir; task_object:bday gift","transliteration_noise; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked; possible intent boundary","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Could be read as purchase_request or task_create because of add kr; keep if label policy prefers underlying user task over task-list wrapper.","blocker","intent may be borderline between purchase_request and task_create"
"raw_035","kabir ke liye bday gift buy krna add kr","purchase_request","person:kabir; task_object:bday gift","transliteration_noise; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked; possible intent boundary","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Could be read as purchase_request or task_create because of add kr; keep if label policy prefers underlying user task over task-list wrapper.","blocker","intent may be borderline between purchase_request and task_create"
"raw_062","kal wala reminder thoda late kar do","reminder_update","date:kal","ambiguity; temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Ambiguous but still defensible for reminder_update.","blocker",""
"raw_062","kal wala reminder thoda late kar do","reminder_update","date:kal","ambiguity; temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Ambiguous but still defensible for reminder_update.","blocker",""
"raw_062","kal wala reminder thoda late kar do","reminder_update","date:kal","ambiguity; temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Ambiguous but still defensible for reminder_update.","blocker",""
"raw_062","kal wala reminder thoda late kar do","reminder_update","date:kal","ambiguity; temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Ambiguous but still defensible for reminder_update.","blocker",""
"raw_074","kal ka plan cancel hai ya shift, check kar","information_query","date:kal; event_name:plan","ambiguity; temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Information query label is defensible.","blocker",""
"raw_074","kal ka plan cancel hai ya shift, check kar","information_query","date:kal; event_name:plan","ambiguity; temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Information query label is defensible.","blocker",""
"raw_074","kal ka plan cancel hai ya shift, check kar","information_query","date:kal; event_name:plan","ambiguity; temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Information query label is defensible.","blocker",""
"raw_074","kal ka plan cancel hai ya shift, check kar","information_query","date:kal; event_name:plan","ambiguity; temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Information query label is defensible.","blocker",""
"raw_077","weekend pe ek call fix kar dena chachu ke saath","call_request","contact:chachu; date:weekend","ambiguity; temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Ambiguous timing but intent is still defendable.","blocker",""
"raw_077","weekend pe ek call fix kar dena chachu ke saath","call_request","contact:chachu; date:weekend","ambiguity; temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Ambiguous timing but intent is still defendable.","blocker",""
"raw_077","weekend pe ek call fix kar dena chachu ke saath","call_request","contact:chachu; date:weekend","ambiguity; temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Ambiguous timing but intent is still defendable.","blocker",""
"raw_077","weekend pe ek call fix kar dena chachu ke saath","call_request","contact:chachu; date:weekend","ambiguity; temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Ambiguous timing but intent is still defendable.","blocker",""
"raw_079","abhi nahi, thodi der me location bhejna","message_send","duration:thodi der me; message_content:location","ambiguity; temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable.","blocker",""
